"","x"
"1",1801.23396106029
"2",1467.55036500117
"3",1559.73164578935
"4",1401.70426319493
"5",2439.56381327704
"6",1731.90356697162
"7",2284.50238470561
"8",2252.80396106029
"9",1964.27036500117
"10",2612.17164578935
"11",2105.60426319493
"12",1485.30381327703
"13",2269.82356697162
"14",1897.00238470561
"15",1844.64396106029
"16",1382.01036500117
"17",2458.41164578935
"18",1018.51426319493
"19",1760.74381327703
"20",2049.74356697162
"21",2091.11238470561
"22",1462.60396106029
"23",1844.13036500117
"24",1657.84164578935
"25",1709.36426319493
"26",799.503813277035
"27",1051.99356697162
"28",1797.97238470561
"29",2446.57396106029
"30",1699.78036500117
"31",1843.40164578935
"32",1843.20426319493
"33",2263.48381327704
"34",2237.53356697162
"35",1577.07238470561
"36",1035.35396106029
"37",2000.99036500117
"38",2113.12164578935
"39",1270.20426319493
"40",1593.20381327703
"41",1377.07356697162
"42",1922.08238470561
"43",2351.39396106029
"44",1270.42036500117
"45",2035.96164578935
"46",2154.42426319493
"47",2533.48381327704
"48",1884.35356697162
"49",1948.51238470561
"50",1996.66396106029
"51",1564.29036500117
"52",2338.09164578935
"53",2579.28426319493
"54",1480.57381327703
"55",2340.84356697162
"56",1635.63238470561
"57",2106.03396106029
"58",2369.86036500117
"59",2340.90164578935
"60",2215.27426319493
"61",2874.53381327703
"62",1659.60356697162
"63",1591.58238470561
"64",1408.38396106029
"65",1734.73036500117
"66",1799.95164578935
"67",1549.63426319493
"68",1832.94381327704
"69",2533.14356697162
"70",1867.22238470561
"71",2098.47396106029
"72",2700.22036500117
"73",2181.38164578935
"74",2114.22426319493
"75",2171.09381327704
"76",1825.55356697162
"77",2296.82238470561
"78",2416.00396106029
"79",1740.22036500117
"80",1758.04164578935
"81",2583.98426319493
"82",1955.14381327703
"83",1677.66356697162
"84",1951.99238470561
"85",1889.98396106029
"86",1875.87036500117
"87",1894.94164578935
"88",1884.01426319493
"89",2133.89381327703
"90",1809.02356697162
"91",1376.98238470561
"92",2410.30396106029
"93",2619.08036500117
"94",1781.65164578935
"95",1964.05426319493
"96",1671.25381327704
"97",2415.53356697162
"98",1876.22238470561
"99",2005.85396106029
"100",2399.63036500117
"101",1720.79164578935
"102",2113.24426319493
"103",1681.30381327703
"104",2349.02356697162
"105",1695.96238470561
"106",1775.68396106029
"107",1727.00036500117
"108",1434.63164578935
"109",1427.29426319493
"110",2574.07381327704
"111",2622.43356697162
"112",1972.66238470561
"113",2642.63396106029
"114",1675.31036500117
"115",1808.66164578935
"116",1527.58426319493
"117",1380.75381327704
"118",2234.28356697162
"119",2292.89238470561
"120",1747.93396106029
"121",1340.71036500117
"122",2449.44164578935
"123",1802.01426319493
"124",2172.46381327704
"125",1371.97356697162
"126",2165.44238470561
"127",1098.65396106029
"128",1562.84036500117
"129",1109.93164578935
"130",1885.11426319493
"131",1492.11381327704
"132",1223.25356697162
"133",1803.30238470561
"134",2161.13396106029
"135",2941.78036500117
"136",3039.70164578935
"137",2430.03426319493
"138",2566.66381327703
"139",2201.76356697162
"140",1483.87238470561
"141",1874.53396106029
"142",1905.60036500117
"143",1356.37164578935
"144",1776.29426319493
"145",1651.52381327704
"146",1148.06356697162
"147",1876.90238470561
"148",1839.87396106029
"149",1571.09036500117
"150",1834.01164578935
"151",1779.17426319493
"152",1714.25381327704
"153",2231.26356697162
"154",2208.84238470561
"155",1334.90396106029
"156",2710.80036500117
"157",1621.69164578935
"158",1420.75426319493
"159",2286.22381327703
"160",1455.77356697162
"161",1588.78238470561
"162",1776.57396106029
"163",1456.41036500117
"164",1658.06164578935
"165",1936.27426319493
"166",1236.18381327703
"167",1503.08356697162
"168",1734.88238470561
"169",2528.15396106029
"170",1302.41036500117
"171",1843.97164578935
"172",1850.39426319493
"173",2475.69381327704
"174",2750.49356697162
"175",1698.67238470561
"176",1460.40396106029
"177",2030.26036500117
"178",1564.88164578935
"179",2227.91426319493
"180",1591.02381327704
"181",1875.96356697162
"182",1717.95238470561
"183",1811.63396106029
"184",1383.29036500117
"185",1470.30164578935
"186",2456.74426319493
"187",1964.80381327703
"188",2172.85356697162
"189",2442.20238470561
"190",1665.54396106029
"191",2436.03036500117
"192",472.76164578935
"193",2056.55426319493
"194",1652.26381327703
"195",1134.23356697162
"196",1921.78238470561
"197",1569.29396106029
"198",2001.62036500117
"199",1985.56164578935
"200",1650.31426319493
"201",1207.66381327703
"202",1531.37356697162
"203",2113.93238470561
